feature,importance
response_time_first,0.32247995586042694
resolution_seconds,0.2743038577470793
num_reassignments,0.052681991258196
time_to_deadline_seconds,0.027176323856013148
channel_chat,0.02043769170190952
channel_phone,0.020256283426269374
category_software,0.019777339024652157
assigned_group_team_a,0.019582305100967565
channel_email,0.019355464952877977
assigned_group_team_b,0.01930231351627608
customer_tier_standard,0.019227588252460518
assigned_group_team_c,0.01909237368676725
assigned_group_team_d,0.019048116892743154
channel_portal,0.018788223284515577
category_network,0.018678738081094905
category_billing,0.017490441554910568
category_hardware,0.017481682081066995
customer_tier_enterprise,0.01710378379178431
customer_tier_vip,0.015402468642723181
priority_P1,0.011847515847037412
priority_P3,0.011020599734107238
priority_P2,0.010260185453584876
priority_P4,0.009204756252535687
